,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
17,24,45,15,30,60,10,53,34,51,59,52,262,436,268,30959,2.0,2021-06-17 22:58:10,2021-06-17 23:05:31,N,1.0,75,141,1.0,1.46,7.5,0.5,0.5,2.89,0.0,,0.3,14.44,1.0,1.0,2.75
40,1,86,58,23,71,29,76,20,43,41,61,643,470,858,84419,,2021-06-27 19:27:00,2021-06-27 19:52:00,,,175,56,,7.11,36.62,2.75,0.0,0.0,0.0,,0.3,39.67,,,
38,63,57,35,27,99,44,4,75,69,89,70,738,393,571,46989,1.0,2021-06-26 18:44:29,2021-06-26 18:53:23,N,1.0,75,41,2.0,1.8,8.5,0.0,0.5,1.85,0.0,,0.3,11.15,1.0,1.0,0.0
5,93,83,46,17,24,45,15,30,60,10,53,432,66,264,74655,,2021-06-29 10:58:00,2021-06-29 11:49:00,,,48,69,,8.97,32.24,2.75,0.0,0.0,0.0,,0.3,35.29,,,
91,36,18,33,68,14,7,73,97,64,79,77,796,464,898,4918,2.0,2021-06-03 14:41:07,2021-06-03 14:54:32,N,1.0,74,75,1.0,1.84,10.0,0.0,0.5,2.16,0.0,,0.3,12.96,1.0,1.0,0.0
59,52,0,26,6,16,22,3,55,50,91,36,957,797,25,59665,,2021-06-24 09:23:00,2021-06-24 09:36:00,,,152,41,,2.24,11.72,0.0,0.0,2.67,0.0,,0.3,14.69,,,
0,26,6,16,22,3,55,50,91,36,18,33,790,507,530,48760,2.0,2021-06-27 20:15:15,2021-06-27 21:27:48,N,1.0,39,136,2.0,26.99,79.0,0.5,0.5,0.0,6.55,,0.3,86.85,1.0,1.0,0.0
34,51,59,52,0,26,6,16,22,3,55,50,331,748,828,30662,2.0,2021-06-17 18:09:22,2021-06-17 18:23:14,N,1.0,41,75,1.0,1.75,10.5,1.0,0.5,2.46,0.0,,0.3,14.76,1.0,1.0,0.0
28,82,81,37,56,11,92,21,62,66,32,90,452,482,460,578,2.0,2021-06-01 10:11:33,2021-06-01 10:15:09,N,1.0,193,193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0
50,91,36,18,33,68,14,7,73,97,64,79,654,160,580,6052,2.0,2021-06-04 07:54:38,2021-06-04 08:04:56,N,1.0,130,191,1.0,2.2,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,2.0,1.0,0.0
